123.58,117.94,121.71,180.63,181.22,1.5687,1.2227,1.3080,1.5067
118.63,116.92,119.31,190.96,151.76,1.5365,1.2317,1.3454,1.4750
119.71,120.42,124.26,188.49,166.06,1.5453,1.2677,1.3244,1.4767
123.31,118.22,124.20,184.30,182.99,1.4803,1.2458,1.3599,1.4954
119.43,114.61,127.73,180.32,175.46,1.5532,1.2418,1.2884,1.4708
123.10,115.10,121.78,189.38,172.69,1.6069,1.2259,1.3648,1.4470
119.79,117.27,122.72,177.23,179.16,1.5599,1.2663,1.3485,1.4916
121.98,114.47,132.86,180.08,179.49,1.5710,1.2257,1.3225,1.4339
118.91,120.56,124.73,185.36,171.94,1.5249,1.2218,1.3118,1.4966
117.71,116.05,122.14,179.96,188.83,1.5053,1.2527,1.3350,1.5414
120.60,118.52,124.81,176.93,185.18,1.5241,1.2325,1.3236,1.4667
120.82,116.42,124.44,189.14,168.96,1.5544,1.2354,1.3717,1.4831
123.68,112.01,124.34,173.71,173.71,1.5038,1.2327,1.3617,1.4936
121.72,115.67,127.96,173.53,182.33,1.5333,1.2143,1.3101,1.4864
119.38,116.01,126.63,177.07,183.00,1.4949,1.2300,1.3255,1.5506
117.99,120.21,122.39,180.27,175.73,1.5879,1.2501,1.3563,1.4516
120.93,119.73,119.02,175.74,186.43,1.5595,1.2347,1.4298,1.4934
120.37,115.75,125.69,175.66,179.43,1.5723,1.2635,1.3783,1.4598
120.22,117.99,129.78,189.23,189.23,1.5167,1.2226,1.3156,1.4641
